,token,v_1,v_2
192,development,0.02868551,0.040281788
193,find,0.035275437,0.3371166
194,times,-0.25140858,1.9233079
195,office,0.035018537,0.39487925
196,led,0.12123126,1.5668172
197,among,-0.1467132,1.6320488
198,increase,1.2519506,0.18585055
199,whether,-0.5058211,1.4269105
200,cost,0.11442046,0.36368132
201,security,0.73468465,0.5557343
202,job,-0.112155795,1.3289477
203,less,0.5138773,1.3996935
204,head,-1.0429785,0.71031904
205,seven,0.78018576,1.5993308
206,growth,0.8802066,-0.110053144
207,lost,-0.8520346,1.7498939
208,pay,0.1216705,0.92081076
209,looking,0.12660724,1.2896328
210,provide,0.92940617,-0.252423
211,plans,0.17598751,1.2440709
212,products,0.359286,-1.2702143
213,car,-0.5255126,0.5085706
214,recent,-0.17972715,1.9616432
215,hard,0.20374942,2.131803
216,always,0.9992306,1.2536218
217,include,0.43074957,-0.35342366
218,women,0.22817254,0.6745352
219,across,-1.4955835,0.4426784
220,tax,-0.14750506,1.3277143
221,water,-0.23743628,0.047951452
222,continue,0.40687463,1.2463881
223,important,0.8054681,1.4465082
224,different,0.7073728,0.48818704
225,close,-1.0724523,1.0298342
226,late,-0.046024255,2.1106281
227,decision,-0.14298409,2.2020378
228,current,-0.315941,1.1543777
229,law,-0.11077812,1.0959923
230,within,-0.55330104,0.9043932
231,along,-0.76933867,0.6216135
232,played,0.13565941,2.487486
233,move,-0.0881988,1.3308877
234,enough,0.058331423,1.2747418
235,become,0.21090463,0.79674613
236,side,0.00667909,1.9352235
237,national,-0.17597122,0.9769196
238,results,-1.0041016,1.0793095
239,level,-0.8129125,1.1366796
240,loss,-0.12134175,2.3122475
241,economic,0.2617426,0.48906574
242,coach,0.31072208,2.5398843
243,near,-0.46040606,1.4313114
244,getting,-0.39035127,1.3119032
245,price,1.4067081,-1.0576499
246,event,-0.09869993,0.9951486
247,fourth,0.22015965,2.6131303
248,change,0.5315466,0.047490735
249,small,-0.019777648,0.4162918
250,board,-0.91073287,0.7811748
251,goal,-0.02939586,2.4977276
252,taken,0.5688305,1.6945205
253,field,-0.19189483,2.0505164
254,prices,1.4361992,-0.9404914
255,weeks,0.11671438,2.259716
256,men,0.14906834,0.79881084
257,asked,1.2750214,1.2086042
258,eight,0.7761878,1.5709525
259,data,-0.008719851,-1.4108285
260,shot,-0.15998316,2.090995
261,started,0.21601225,1.8062387
262,director,-0.018407002,0.39859977
263,party,0.0014487179,1.0354643
264,federal,-1.2630279,0.32704106
265,done,-0.079976335,1.4086876
266,political,-0.1291667,1.3085425
267,minutes,0.016761176,2.5177958
268,taking,0.59973145,1.604605
269,technology,-0.04126029,-1.0784754
270,project,-0.12349902,0.119452454
271,center,-0.12831976,0.1976019
272,leading,-0.041830115,0.96800244
273,issue,0.33455274,1.3539932
274,though,0.52260995,1.2753432
275,period,0.4318524,2.2406979
276,likely,0.36030143,1.8792666
277,scored,0.12411094,2.5461137
278,strong,0.3889786,1.56383
279,series,-1.3295025,0.3260389
280,military,-0.13347727,0.15885952
281,seen,0.099299975,1.5565827
282,trying,0.77500486,1.595391
283,coming,0.06208198,1.5705328
284,process,-0.4369106,-0.17339963
285,building,-0.20550762,0.13845348
286,behind,-0.25100437,1.8705381
287,performance,-0.033651322,2.529711
288,management,-0.15703465,-0.17853217
289,saying,1.1562135,0.7187583
290,earlier,-0.09168674,2.0639093
291,believe,1.5205455,1.0823035
292,oil,-0.124128275,-0.008075768
293,given,0.49872214,1.0679173
294,customers,0.40859944,-1.2537079
295,due,0.511696,0.7226769
296,following,-0.0818349,1.5455732
297,term,-0.16840802,1.6461649
298,others,-0.108127564,1.0135158
299,statement,-0.14403212,0.54296356
300,international,-1.067962,0.2358091
301,economy,0.6003242,0.45739406
302,health,-0.06322581,0.28406057
303,thing,1.2644447,1.289559
304,return,0.16797045,1.6402533
305,killed,-0.10085614,1.5802968
306,face,0.28322524,1.6581075
307,low,-0.03274717,1.3040118
308,higher,0.5424881,1.4460385
309,site,0.04481662,-0.7692248
310,yet,0.09638355,1.6531192
311,hours,0.11855583,2.3164885
312,control,0.5714315,0.06102568
313,received,-0.028299285,1.7621592
314,rate,-0.04367075,0.08774757
315,career,0.3988014,1.8011489
316,teams,0.10829138,2.3937604
317,known,0.08545117,0.8884733
318,offer,1.1857792,-0.34892204
319,race,-0.04910433,2.3645074
320,ever,0.1736789,1.5506358
321,experience,-0.15023108,0.5231169
322,playing,0.1393306,2.4749959
323,name,-0.03128029,-0.8947363
324,possible,-0.22839949,1.1535804
325,countries,0.050542913,0.055284176
326,average,-0.065122575,0.15140891
327,together,-1.5592169,0.8409135
328,using,0.4807279,-0.42591688
329,cut,-1.4117048,0.21902923
330,total,0.019222803,1.2229087
331,round,-0.03103466,2.170988
332,young,0.4142209,1.0156986
333,nearly,0.010055721,1.0994729
334,shares,-0.0119559625,0.039814886
335,member,-0.1266386,0.88976467
336,campaign,-1.200476,0.53424716
337,media,0.014702168,-0.05710224
338,needs,0.51199824,1.275246
339,house,-0.10648973,0.31553257
340,issues,0.25241056,1.3560706
341,costs,0.14422613,0.26216486
342,fire,-0.23209918,0.55732286
343,victory,0.07551308,2.69136
344,player,0.08315192,2.4096165
345,began,0.23046519,1.8505367
346,sure,0.8795638,1.5199206
347,story,-0.012754365,-0.04425478
348,staff,-0.86916924,1.2225955
349,order,-0.6642003,-0.59950304
350,war,-0.0110369455,0.052495074
351,large,-0.009299568,0.9137485
352,interest,-1.0148951,0.68121004
353,stock,0.021025877,0.05123065
354,food,-0.44202098,-0.2711336
355,research,-0.10354421,-0.038783673
356,key,0.5228255,1.5327702
357,morning,-0.15513201,1.9630647
358,conference,-0.021167003,-0.23873693
359,senior,-0.02255836,2.383322
360,global,0.34159052,-0.14922974
361,death,-0.12331575,1.266703
362,person,-0.18798392,0.73779505
363,thought,1.2944651,1.29548
364,gave,0.64837927,1.3219339
365,feel,1.5852277,1.5171549
366,energy,-0.13774411,-0.03140749
367,history,-0.30227816,1.022198
368,recently,-1.3220704,0.8492433
369,largest,-0.005876302,1.8438995
370,general,-0.29617572,0.8581956
371,official,-0.46707952,0.43833634
372,released,-0.012263705,-0.029739924
373,wanted,1.1668546,1.3916543
374,meet,-0.13895693,1.0499121
375,short,-0.96547496,1.3809358
376,outside,-0.7394164,0.91675824
377,running,-0.39726183,1.581447
378,live,-0.17616458,0.5615911
379,ball,0.057334892,2.5489335
380,online,0.29566485,-1.817635
381,real,0.01993483,0.76859754
382,position,-0.4624308,1.2314185
383,fact,0.6567753,1.0399784
384,fell,0.15355644,2.3768256
385,nine,0.80868685,1.6057833
386,front,-0.7684378,1.0853957
387,action,-1.0333601,0.9027836
388,defense,-0.06534251,2.293751
389,problem,0.9064292,1.8230655
390,problems,0.9718467,1.8067368
391,nation,-0.069834575,0.5885494
392,needed,0.38626733,1.262548
393,special,1.2648668,-0.6229192
394,almost,-0.054606058,1.0882059
395,chance,-0.24023554,2.0939932
396,result,0.120616935,0.9747224
397,reports,-0.17335853,0.4696723
398,leader,-0.101384334,1.3207511
399,investment,-0.00042214128,-0.01447158
400,yesterday,-0.36260372,1.7735053
401,leaders,-0.1674269,1.2424067
402,ahead,-0.39404708,2.02616
403,production,-0.115421414,-0.3183083
404,comes,0.9255506,0.64302456
405,runs,-0.26152626,2.104422
406,match,0.35023397,2.485304
407,role,-0.11399614,0.65725005
408,kind,0.8617394,0.8927908
409,try,0.7400413,1.5107671
410,ended,-0.031525634,2.0490603
411,risk,-0.070392594,0.9034046
412,areas,-0.012600284,1.076563
413,election,-0.057594217,1.9793329
414,workers,0.090703465,0.8685859
415,visit,-0.15319702,1.8887068
416,bring,0.369403,0.92546964
417,road,-0.27014393,2.0408604
418,music,-1.3643303,0.061175328
419,study,-0.10432847,0.2025916
420,makes,1.1071824,0.07050189
421,often,1.2224944,0.7711518
422,release,0.012246716,-0.086733915
423,woman,0.06359446,1.0358431
424,vote,0.054027688,2.124403
425,care,-1.2279953,0.69860566
426,town,0.05109212,1.277086
427,clear,-0.23186417,1.1792803
428,comment,1.520102,0.6917288
429,budget,0.64738923,0.50507605
430,potential,-0.015174286,0.94511616
431,single,-0.075323485,1.681325
432,markets,0.50492954,-0.12075547
433,policy,0.16940318,0.7829685
434,capital,-0.07514167,0.18664512
435,saw,0.1138205,1.811376
436,access,0.3972999,-1.2579473
437,weekend,0.15049818,2.1438763
438,operations,-0.10568434,0.0728909
439,whose,-0.5721109,1.0395296
440,net,-0.11363453,0.21021703
441,hand,-0.18401986,0.5318843
442,increased,1.1211078,0.39376655
443,charges,-0.1729632,0.8954425
444,winning,0.078449555,2.6098669
445,trade,-1.336209,0.11462106
446,income,-0.6273036,0.7357447
447,value,-0.7357746,0.13431542
448,involved,-0.061098415,0.7079196
449,bill,-0.10301502,1.4152982
450,compared,0.8968288,0.17418067
451,anything,0.43496984,1.3524324
452,manager,-0.058234997,0.50841516
453,property,0.009228364,0.19754744
454,stop,0.5373672,1.0097768
455,annual,-0.16136387,0.4988546
456,private,-0.025424188,0.52057606
457,contract,0.76345664,0.90804267
458,died,-0.04224402,1.676268
459,hope,1.1942732,1.9660989
460,product,0.37446326,-1.3078524
461,fans,-0.061927296,1.0336447
462,lower,0.52585804,1.4491662
463,demand,-1.2197394,-0.06878479
464,club,0.6641104,1.7045262
465,comments,1.483349,0.40566328
466,film,0.45074743,-0.84569967
467,yards,-0.022396501,2.5682986
468,quality,0.07446667,-0.28054035
469,currently,0.6085281,0.11409193
470,events,-0.12344748,1.0286832
471,addition,-0.09291009,-0.024722552
472,couple,0.7406244,1.399576
473,schools,0.7084954,0.44175914
474,attack,-0.016740149,1.1585412
475,region,-0.042792488,1.046444
476,latest,-0.15772946,1.4656261
477,opportunity,-0.4510178,2.0149832
478,worked,0.023788996,1.2757303
479,course,-1.2355584,0.71029985
480,bad,1.0140328,1.5502231
481,fall,0.13089982,1.435556
482,jobs,-0.041457392,1.0831708
483,list,0.050893504,-1.4297785
484,let,0.6141198,1.0262972
485,however,0.5242546,1.2589351
486,chief,-0.10650945,0.6229745
487,summer,0.120245114,1.9263544
488,programs,-0.19226953,0.015346
489,revenue,0.052576594,-0.2872152
490,rose,0.24932732,2.4549549
491,previous,0.04532177,1.9753281
492,football,0.23177563,2.468491
493,biggest,0.09633318,1.8711417
494,employees,0.13434575,0.92694736
495,changes,0.48281494,-0.04159924
496,residents,-0.5585017,1.0307786
497,means,0.84213823,0.6383086
498,agreement,-0.04867232,1.3923961
499,includes,0.7095953,-1.0895908
500,post,-0.1628656,1.0831623
501,probably,0.897588,1.259704
502,related,0.39425218,-0.030634692
503,training,-0.009378797,1.0070728
504,allowed,0.8903993,0.388121
505,class,-0.7953245,0.46415976
506,bit,1.0182638,1.3763324
507,video,0.102451295,-1.6813085
508,sent,0.11777415,0.90488
509,education,0.20647402,0.28110713
510,states,-0.40121555,0.8008975
511,straight,-0.018468348,2.4277909
512,love,1.8158064,0.84420687
513,beat,0.07235799,2.5580916
514,hold,-0.061160177,1.2167873
515,turn,-0.06503291,1.0377455
516,finished,0.15144698,2.5066261
517,network,-0.10854602,-0.7671729
518,buy,0.86297536,-1.2775565
519,foreign,0.13793328,-0.0069260923
520,especially,0.90339136,0.946831
521,groups,-1.3655502,0.5814536
522,wants,1.7344129,0.8775267
523,title,0.4807527,2.3732123
524,included,0.5060002,-0.30011454
525,turned,-0.08350022,1.3673269
526,bank,-0.25712225,0.52237433
527,efforts,0.29848742,0.9790432
528,personal,0.53001463,2.012456
529,businesses,-0.04737189,0.027083637
530,situation,0.14593038,1.6103288
531,district,-0.26099944,1.5881555
532,allow,1.1575027,0.030217215
533,helped,1.0777923,1.0158013
534,body,-0.31486604,0.23151766
535,nothing,0.008661937,1.3722013
536,soon,-0.28413936,1.8979777
537,safety,-0.68226784,0.30421698
538,officer,-0.13792211,0.76582944
539,cents,-0.099494636,-0.22690678
540,additional,-0.48154265,0.21333021
541,wife,1.7161305,-0.17947285
542,showed,0.0068903025,0.39846545
543,leave,0.112381324,1.4840661
544,investors,0.1879389,0.045162663
545,parents,1.5113106,0.15941978
546,medical,-0.119690865,0.72289616
547,spending,1.2215244,0.6140726
548,non,-0.3048568,0.041586857
549,matter,-0.03456548,0.86187744
550,spent,0.32953525,1.4849241
551,child,1.4461007,0.15083624
552,effort,0.3096072,1.001513
553,opening,-0.3286931,1.0047154
554,either,0.06106223,0.8537689
555,range,0.03006324,-0.2617654
556,question,0.9100229,1.1913062
557,goals,-0.05488207,2.490665
558,administration,-1.2329246,0.17914882
559,friends,0.42777598,0.9188605
560,shows,0.051559523,0.08399155
561,difficult,0.5434425,1.9773173
562,kids,1.6969773,0.19029073
563,paid,0.05619915,0.8490103
564,create,0.5192661,-0.15012099
565,cash,-0.1349512,0.6190251
566,age,0.39601612,0.890205
567,league,0.520807,2.453071
568,form,-0.11588402,-0.029207323
569,impact,1.2398329,0.3897903
570,drive,-1.4308295,1.128494
571,someone,0.31111768,0.5741585
572,became,0.2102625,0.9494435
573,stay,0.6616617,1.7482194
574,fight,0.00032874127,1.2364599
575,significant,0.046787143,1.5306075
576,firm,0.08295372,-0.060886983
577,hospital,-0.12801279,1.2231601
578,charged,0.50084764,1.6273427
579,operating,-0.053989224,-0.06520832
580,main,-0.1273636,1.316452
581,book,0.18036498,-0.39448774
582,success,0.40815246,2.3568447
583,son,1.8445483,-0.26191354
584,trading,-1.4935272,0.6284565
585,focus,0.9463937,0.7217233
586,room,-0.2559153,0.33736002
587,continued,0.33257842,1.3329307
588,everything,0.43637353,0.932031
589,agency,-0.29158825,0.049682904
590,brought,0.05839954,1.4431376
591,talk,1.0719209,1.1562937
592,break,-0.2063999,1.6458045
593,air,-0.1685212,0.44617504
594,software,-0.27089804,-2.1405172
595,decided,1.7746158,0.8142481
596,ready,0.8532351,1.8846349
597,track,-0.19302881,1.4299704
598,provides,1.3449069,-0.8528175
599,mother,1.7420853,-0.22698833
600,base,-1.4654665,1.0233597
601,trial,0.04355883,1.6112854
602,phone,-0.10167513,-1.6783938
603,build,0.21389389,-0.1356895
604,conditions,-0.77212405,1.1248473
605,rest,-0.42108712,1.6482382
606,terms,-1.3602374,0.3823075
607,expect,1.2378057,1.6100872
608,despite,0.5652744,1.0784215
609,closed,-0.8676987,1.0644352
610,starting,0.02328585,1.8146167
611,provided,0.93534935,-0.265225
612,pressure,0.19755927,1.7742716
613,lives,-1.294127,0.7769115
614,step,0.044926234,1.9988565
615,remain,1.2438356,1.507057
616,similar,0.9987368,0.1958042
617,charge,-0.1791316,0.8420863
618,date,-0.14681819,1.521502
619,whole,-0.33552083,1.3862474
620,land,-0.086707756,0.31330818
621,growing,0.35019997,0.2683754
622,projects,-0.108160935,0.124523304
623,cases,-0.075744204,1.246243
624,ground,-0.8981949,1.3219485
625,legal,-0.6815463,0.4936119
626,agreed,1.4572573,0.85238713
627,tell,1.3578455,0.8780477
628,test,-0.09748167,0.21721068
629,everyone,0.014178621,0.8167064
630,pretty,1.6864094,0.6037805
631,moved,-0.12779927,1.6638954
632,profit,-0.009994301,0.13496229
633,throughout,1.2605269,0.29933688
634,inside,-0.5577653,0.7951691
635,ability,-0.039305586,1.5593508
636,overall,-0.0071800346,0.16659562
637,pass,-0.06901852,2.354229
638,officers,-0.1617639,0.98751616
639,rather,0.49807072,0.9179214
640,actually,0.4432204,0.9568822
641,county,-0.24832281,1.7674224
642,amount,-0.15254924,0.8392728
643,scheduled,0.66380095,1.9139259
644,organization,-1.2856685,0.6719923
645,giving,0.6745963,0.96451586
646,credit,-1.1965926,0.5138574
647,father,1.8042144,-0.18588248
648,drug,0.655262,0.062877715
649,investigation,-0.15768246,0.187106
650,families,0.53247744,0.7397836
651,funds,-0.117958434,0.9947528
652,patients,-0.115726426,0.52916765
653,takes,1.0342805,0.99912727
654,systems,-0.1102621,-1.2180799
655,complete,-0.24805133,0.7638121
656,sold,0.83403844,-1.319853
657,practice,-0.09057211,1.461902
658,calls,-0.06261717,-0.07046145
659,force,-0.1952661,1.0802609
660,student,0.93043506,0.4921494
661,idea,1.2014474,0.46481293
662,reached,-0.1020297,1.5581278
663,reason,0.365089,1.5397943
664,levels,-0.642805,1.1883273
665,space,-0.20597953,-0.06123723
666,competition,0.2668226,0.80261284
667,forces,-0.113459244,0.73205256
668,sector,0.7188376,-0.09478901
669,tried,0.6359547,1.5575426
670,common,0.20189583,0.00023418223
671,homes,0.20116745,0.24333939
672,stage,-0.5469601,1.5306089
673,department,-0.11841081,-0.29785106
674,named,0.80843604,0.6314163
675,offers,1.3052894,-0.8115276
676,star,0.3890704,1.687576
677,certain,-0.03779475,0.37208465
678,double,0.02633363,2.2531745
679,longer,-0.44533452,1.5393838
680,followed,0.07525197,1.568102
681,cause,0.17961745,1.022106
682,signed,0.11877472,0.09400737
683,committee,-0.18807477,0.86898476
684,hour,0.115963496,2.2749488
685,college,0.3476773,0.6763737
686,users,0.063116774,-2.1846063
687,sign,-0.8096068,0.31974125
688,living,-0.12387963,1.0564513
689,failed,1.147567,1.4130981
690,reach,-0.04448163,1.4725853
691,quickly,-0.11849321,1.3228412
692,receive,0.023328032,1.5749049
693,debt,-0.15203434,0.03859973
694,sale,0.72725475,-1.2865701
695,insurance,-0.12951894,-0.04533167
696,anyone,0.4050812,0.83101946
697,tournament,0.3298131,2.5943694
698,gas,-0.20812358,0.021622214
699,talks,0.7143841,1.1485304
700,serious,-0.27155754,1.5041387
701,required,1.269304,0.16931187
702,sell,0.84170526,-1.2645266
703,construction,-0.11591686,0.20329097
704,evidence,0.66377956,0.23929241
705,remains,1.3072853,1.4385457
706,black,-0.10963979,-0.02650778
707,improve,1.154018,-0.18408646
708,crisis,1.3125795,1.3419516
709,address,0.8711406,0.12124075
710,questions,0.96290296,1.0983149
711,easy,0.64078146,0.6463046
712,begin,0.6737031,1.6528893
713,view,0.1983842,0.03193214
714,heard,0.49323756,1.8140273
715,executive,-0.043658443,0.39233285
716,raised,1.3421191,0.74134445
717,store,0.46053398,-0.5489544
718,gets,0.74456894,1.0892315
719,filed,-0.10698222,0.091624394
720,huge,0.08129986,1.4347696
721,moving,-0.5423265,1.4576138
722,seems,1.458128,0.8470993
723,met,-0.057867542,1.1826769
724,thousands,-0.4287026,0.31793195
725,solutions,0.09498391,-1.0308089
726,score,0.044355832,2.424524
727,content,1.421079,-0.5251547
728,treatment,-0.2738172,0.8210719
729,offered,1.1621324,-0.1453989
730,built,-0.045345917,-0.08914071
731,hits,-0.091577806,2.2955992
732,present,0.05026,0.35704353
733,attacks,0.007747423,1.1272777
734,although,0.502745,1.247633
735,social,-0.026379058,-0.04330047
736,afternoon,-0.06670194,2.0275521
737,vehicle,-0.5495588,0.50357604
738,read,0.04357621,-0.3530724
739,example,-0.76033276,0.9572155
740,rise,0.9159285,0.818296
741,minute,0.0040645357,2.4436345
742,banks,-0.15098344,0.4709402
743,council,-0.10577351,1.1512299
744,troops,-0.14264257,0.7016418
745,rates,-0.024089875,0.084162
746,tough,0.30765387,2.1504962
747,works,0.21018149,0.5224002
748,fifth,0.25427637,2.624407
749,knew,1.2336046,1.4425731
750,felt,1.5073522,1.5720813
751,website,0.34857175,-2.0393183
752,fund,-0.08522497,0.90304804
753,issued,-0.006913339,1.9249225
754,immediately,-1.041596,1.4887581
755,opened,-0.34152058,1.2358731
756,goes,0.7380799,0.91383934
757,proposed,0.42454314,0.47977656
758,happy,0.9380791,2.204584
759,guys,2.1564865,-0.048215166
760,response,0.53992975,0.40082628
761,numbers,-1.1813865,0.95936024
762,benefits,0.03750542,0.58203363
763,happened,0.2821849,2.2456005
764,light,-0.29005027,-0.17344739
765,positive,0.058202308,2.0806103
766,chairman,-0.07188679,0.64660347
767,claims,1.1362073,0.8230627
768,details,0.99254346,-0.3025829
769,accused,1.3492455,1.2388844
770,equipment,-0.31663847,-0.25724614
771,dropped,0.14429,1.9717818
772,dollars,-0.14654164,0.36477253
773,various,-0.43031377,0.16472128
774,worth,-0.11835891,1.5310109
775,judge,0.20564361,1.1590714
776,considered,0.6897225,0.76625985
777,commercial,-0.041517053,-0.15559755
778,activities,-0.09881282,0.217814
779,dollar,-0.057715297,-0.3393705
780,plant,-0.16919664,0.09671012
781,mobile,-0.07489878,-1.7729114
782,television,0.36020443,-1.0552615
783,rules,0.20499961,0.4408893
784,rights,-0.092690825,0.38733596
785,review,0.32260936,0.08448063
786,quite,1.4223099,0.770717
787,regular,-0.11023122,1.0444266
788,served,-0.048109695,2.6097164
789,kept,0.60060084,0.7755074
790,marketing,0.6731994,-0.44356838
791,created,0.5207492,-0.19591738
792,heart,0.12582439,1.0275364
793,wrote,0.31856924,0.06296322
794,prison,-0.084586434,2.0275483
795,instead,0.4674319,0.7495503
796,concerns,1.9211054,1.0969503
797,offering,1.1704279,-0.35392082
798,returned,0.10047891,1.6094948
799,benefit,0.11424296,0.605194
800,designed,-0.056436997,0.49639422
801,approved,1.3546118,0.27644682
802,foot,-0.3209868,1.5488454
803,search,-0.1640433,-0.13719353
804,miles,-0.07899835,1.9846061
805,planned,0.17995365,1.4689473
806,driving,-0.24331883,1.9510248
807,entire,-0.44787776,1.3637207
808,providing,1.0122051,-0.3042845
809,host,0.32784155,0.19077908
810,ask,1.3311486,0.97164035
811,design,-0.20404871,-0.6462744
812,hearing,-0.049500234,1.7963723
813,save,-0.114581026,1.1813762
814,looked,0.9624175,1.3961567
815,travel,-0.08900119,1.9008344
816,successful,0.12539764,1.8102272
